num, x, y
0,104.129928,390.711968
1,104.129928,438.798152
2,104.129928,486.884336
3,104.129928,534.97052
4,104.129928,583.056704
5,104.129928,631.142888
6,162.49076266666665,390.711968
7,162.49076266666665,438.798152
8,162.49076266666665,486.884336
9,162.49076266666665,534.97052
10,162.49076266666665,583.056704
11,162.49076266666665,631.142888
12,220.8515973333333,390.711968
13,220.8515973333333,438.798152
14,220.8515973333333,486.884336
15,220.8515973333333,534.97052
16,220.8515973333333,583.056704
17,220.8515973333333,631.142888
18,284.143056,390.711968
19,284.143056,438.798152
20,284.143056,486.884336
21,284.143056,534.97052
22,284.143056,583.056704
23,284.143056,631.142888
24,335.106584,390.711968
25,335.106584,438.798152
26,335.106584,486.884336
27,335.106584,534.97052
28,335.106584,583.056704
29,335.106584,631.142888
30,386.070112,390.711968
31,386.070112,438.798152
32,386.070112,486.884336
33,386.070112,534.97052
34,386.070112,583.056704
35,386.070112,631.142888
36,441.967016,390.711968
37,441.967016,438.798152
38,441.967016,486.884336
39,441.967016,534.97052
40,441.967016,583.056704
41,441.967016,631.142888
42,492.93054133333334,390.711968
43,492.93054133333334,438.798152
44,492.93054133333334,486.884336
45,492.93054133333334,534.97052
46,492.93054133333334,583.056704
47,492.93054133333334,631.142888
48,543.8940666666666,390.711968
49,543.8940666666666,438.798152
50,543.8940666666666,486.884336
51,543.8940666666666,534.97052
52,543.8940666666666,583.056704
53,543.8940666666666,631.142888
54,757.610808,390.711968
55,757.610808,438.798152
56,757.610808,486.884336
57,757.610808,534.97052
58,757.610808,583.056704
59,757.610808,631.142888
60,808.573872,390.711968
61,808.573872,438.798152
62,808.573872,486.884336
63,808.573872,534.97052
64,808.573872,583.056704
65,808.573872,631.142888
66,859.5369360000001,390.711968
67,859.5369360000001,438.798152
68,859.5369360000001,486.884336
69,859.5369360000001,534.97052
70,859.5369360000001,583.056704
71,859.5369360000001,631.142888
72,599.788216,390.711968
73,599.788216,438.798152
74,599.788216,486.884336
75,599.788216,534.97052
76,599.788216,583.056704
77,599.788216,631.142888
78,650.751744,390.711968
79,650.751744,438.798152
80,650.751744,486.884336
81,650.751744,534.97052
82,650.751744,583.056704
83,650.751744,631.142888
84,701.715272,390.711968
85,701.715272,438.798152
86,701.715272,486.884336
87,701.715272,534.97052
88,701.715272,583.056704
89,701.715272,631.142888
90,164.705728,261.406512
91,164.705728,313.0866186666667
92,214.73445046153844,261.406512
93,214.73445046153844,313.0866186666667
94,264.7631729230769,261.406512
95,264.7631729230769,313.0866186666667
96,314.7918953846154,261.406512
97,314.7918953846154,313.0866186666667
98,364.8206178461538,261.406512
99,364.8206178461538,313.0866186666667
100,414.8493403076923,261.406512
101,414.8493403076923,313.0866186666667
102,464.8780627692307,261.406512
103,464.8780627692307,313.0866186666667
104,546.932184,261.406512
105,546.932184,313.0866186666667
106,595.5508410666666,261.406512
107,595.5508410666666,313.0866186666667
108,644.1694981333333,261.406512
109,644.1694981333333,313.0866186666667
110,692.7881551999999,261.406512
111,692.7881551999999,313.0866186666667
112,741.4068122666665,261.406512
113,741.4068122666665,313.0866186666667
114,790.0254693333331,261.406512
115,790.0254693333331,313.0866186666667
116,838.6441263999998,261.406512
117,838.6441263999998,313.0866186666667
118,887.2627834666664,261.406512
119,887.2627834666664,313.0866186666667
120,104.129928,52.863856
121,104.129928,103.8306
122,104.129928,154.797344
123,168.245448,52.863856
124,168.245448,103.8306
125,168.245448,154.797344
126,205.233832,52.873504
127,205.233832,103.837032
128,205.233832,154.80056
129,254.55289866666666,52.873504
130,254.55289866666666,103.837032
131,254.55289866666666,154.80056
132,284.143056,52.851456
133,284.143056,103.82233333333332
134,284.143056,154.79321066666665
135,333.46396266666665,52.851456
136,333.46396266666665,103.82233333333332
137,333.46396266666665,154.79321066666665
138,363.057792,52.850072
139,363.057792,103.82141066666667
140,363.057792,154.79274933333335
141,412.375024,52.850072
142,412.375024,103.82141066666667
143,412.375024,154.79274933333335
144,441.967016,52.873504
145,441.967016,103.837032
146,441.967016,154.80056
147,491.28700000000003,52.873504
148,491.28700000000003,103.837032
149,491.28700000000003,154.80056
150,520.877616,52.873504
151,520.877616,103.837032
152,520.877616,154.80056
153,570.1976,52.873504
154,570.1976,103.837032
155,570.1976,154.80056
156,599.788216,52.867992
157,599.788216,103.83335733333334
158,599.788216,154.79872266666666
159,649.1082053333333,52.867992
160,649.1082053333333,103.83335733333334
161,649.1082053333333,154.79872266666666
162,678.698816,52.873504
163,678.698816,103.837032
164,678.698816,154.80056
165,728.0188053333334,52.873504
166,728.0188053333334,103.837032
167,728.0188053333334,154.80056
168,757.610808,52.865232
169,757.610808,103.83151733333332
170,757.610808,154.79780266666666
171,806.9298693333333,52.865232
172,806.9298693333333,103.83151733333332
173,806.9298693333333,154.79780266666666
174,836.5214,52.873504
175,836.5214,103.837032
176,836.5214,154.80056
